content_family,n,mean_deep_rate,mean_save_rate,mean_share_rate,mean_comment_rate,mean_views,total_views,total_engagement,er_view_pooled,median_er_view
Static image,126,3.4233,2.6274,0.7959,1.2322,28341.0,3570966,708644,19.8446,22.2455
Story / interactive,214,3.8331,1.6896,2.1436,0.8247,38094.0,8152034,994726,12.2022,11.4148
Short video,362,2.7497,1.4944,1.2553,0.7169,214082.0,77497853,6447637,8.3198,10.9085
Text / long-form,328,4.1052,1.2569,2.8483,0.6592,76440.0,25072433,1482686,5.9136,8.8148
Live,85,2.6936,1.217,1.4765,0.6404,197134.0,16756413,667705,3.9848,7.9686
