platform,n,mean_er_view,mean_deep_rate,mean_share_rate,mean_save_rate,mean_comment_rate,mean_reach_ratio,mean_eng_per_1k_fans,total_views,total_engagement,er_view_pooled,median_er_view
Instagram,271,27.1549,3.5402,0.7654,2.7748,1.2719,0.4913,79.5,7445096,1533458,20.5969,22.3363
Facebook,227,18.6506,3.3742,1.8849,1.4893,0.7355,0.3663,44.52,9700761,1179037,12.1541,12.2272
TikTok,177,16.9984,2.4304,1.498,0.9323,0.5941,2.5067,302.8,46847134,5065615,10.8131,10.5846
LinkedIn,97,14.8641,4.2833,2.5699,1.7134,0.8324,0.1408,11.63,1498806,143152,9.5511,9.8201
Twitter,239,13.7713,4.5065,3.6348,0.8717,0.5881,0.6108,43.07,11966339,945332,7.8999,8.0485
YouTube,104,6.5651,1.6773,0.5265,1.1508,0.2288,6.6248,151.53,53591563,1434804,2.6773,2.5125
